Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Document Type,Source
"Xiao F., Wang Z.","Geological interpretation of Bouguer gravity and aeromagnetic data from the Gobi-desert covered area, Eastern Tianshan, China: Implications for porphyry Cu-Mo polymetallic deposits exploration",2017,"Ore Geology Reviews","80",,,"1042","1055",,,10.1016/j.oregeorev.2016.08.034,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988027148&partnerID=40&md5=9c304e60fa0a43fdd81952fdcf396aff","School of Earth Sciences and Geological Engineering, Sun Yat-sen University, Guangzhou, China; Guangdong Key Laboratory of Geological Process and Mineral Resources Exploration, Sun Yat-sen University, Guangzhou, China","Xiao, F., School of Earth Sciences and Geological Engineering, Sun Yat-sen University, Guangzhou, China, Guangdong Key Laboratory of Geological Process and Mineral Resources Exploration, Sun Yat-sen University, Guangzhou, China; Wang, Z., School of Earth Sciences and Geological Engineering, Sun Yat-sen University, Guangzhou, China, Guangdong Key Laboratory of Geological Process and Mineral Resources Exploration, Sun Yat-sen University, Guangzhou, China","Xiao, F.; School of Earth Sciences and Geological Engineering, Sun Yat-sen UniversityChina; email: xiaofan3@mail.sysu.edu.cn",Article,Scopus
"Ruiz M.D., Gómez-Romero J., Molina-Solana M., Ros M., Martin-Bautista M.J.","Information fusion from multiple databases using meta-association rules",2017,"International Journal of Approximate Reasoning","80",,,"185","198",,,10.1016/j.ijar.2016.09.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989186764&partnerID=40&md5=e1858cd0fe807e9b563a3e509a03a295","CITIC-UGR, University of Granada, Spain; Dept. Computer Science and A.I., University of Granada, Spain","Ruiz, M.D., CITIC-UGR, University of Granada, Spain, Dept. Computer Science and A.I., University of Granada, Spain; Gómez-Romero, J., CITIC-UGR, University of Granada, Spain, Dept. Computer Science and A.I., University of Granada, Spain; Molina-Solana, M., CITIC-UGR, University of Granada, Spain, Dept. Computer Science and A.I., University of Granada, Spain; Ros, M., CITIC-UGR, University of Granada, Spain, Dept. Computer Science and A.I., University of Granada, Spain; Martin-Bautista, M.J., CITIC-UGR, University of Granada, Spain, Dept. Computer Science and A.I., University of Granada, Spain","Ruiz, M.D.; Dept. Computer Science and A.I., University of Granada, C/Periodista Daniel Saucedo Aranda, Spain; email: mdruiz@decsai.ugr.es",Article,Scopus
"Popa C.V., Nguyen C.T., Gherasim I.","New specific heat data for Al2O3 and CuO nanoparticles in suspension in water and Ethylene Glycol",2017,"International Journal of Thermal Sciences","111",,,"108","115",,,10.1016/j.ijthermalsci.2016.08.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983437380&partnerID=40&md5=7223e6b953e2afeae9367fa6cf2944e2","GRESPI/Thermomécanique, Université de Reims Champagne-Ardenne, Moulin de la Housse, BP 1039, Reims Cedex 2, France; Mechanical Engineering, Université de MonctonNB, Canada; Faculty of Civil Engineering and Building Equipment, Technical University of Iasi, 45A, Bd. Dimitrie Mangeron, Iasi, Romania","Popa, C.V., GRESPI/Thermomécanique, Université de Reims Champagne-Ardenne, Moulin de la Housse, BP 1039, Reims Cedex 2, France; Nguyen, C.T., Mechanical Engineering, Université de MonctonNB, Canada; Gherasim, I., Faculty of Civil Engineering and Building Equipment, Technical University of Iasi, 45A, Bd. Dimitrie Mangeron, Iasi, Romania","Nguyen, C.T.; Mechanical Engineering, Université de MonctonCanada; email: cong.tam.nguyen@umoncton.ca",Article,Scopus
"Kim S., Jang H., Koo I., Lee J., Zhang X.","Normal–Gamma–Bernoulli peak detection for analysis of comprehensive two-dimensional gas chromatography mass spectrometry data",2017,"Computational Statistics and Data Analysis","105",,,"96","111",,,10.1016/j.csda.2016.07.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982171763&partnerID=40&md5=7fa6ced68f3b7546c17c4dd34d22405f","Biostatistics Core, Karmanos Cancer Institute, Department of Oncology, School of Medicine, Wayne State University, Detroit, MI, United States; Department of Chemistry, University of Louisville, Louisville, KY, United States; Center for Regulatory and Environmental Analytical Metabolomics, University of Louisville, Louisville, KY, United States; Department of Family Medicine and Public Health Sciences, School of Medicine, Wayne State University, Detroit, MI, United States","Kim, S., Biostatistics Core, Karmanos Cancer Institute, Department of Oncology, School of Medicine, Wayne State University, Detroit, MI, United States; Jang, H., Biostatistics Core, Karmanos Cancer Institute, Department of Oncology, School of Medicine, Wayne State University, Detroit, MI, United States; Koo, I., Department of Chemistry, University of Louisville, Louisville, KY, United States, Center for Regulatory and Environmental Analytical Metabolomics, University of Louisville, Louisville, KY, United States; Lee, J., Biostatistics Core, Karmanos Cancer Institute, Department of Oncology, School of Medicine, Wayne State University, Detroit, MI, United States, Department of Family Medicine and Public Health Sciences, School of Medicine, Wayne State University, Detroit, MI, United States; Zhang, X., Department of Chemistry, University of Louisville, Louisville, KY, United States, Center for Regulatory and Environmental Analytical Metabolomics, University of Louisville, Louisville, KY, United States","Kim, S.; Biostatistics Core, Karmanos Cancer Institute, Department of Oncology, School of Medicine, Wayne State UniversityUnited States; email: kimse@karmanos.org",Article,Scopus
"Breunig F.M., Pereira Filho W., Galvão L.S., Wachholz F., Cardoso M.A.G.","Dynamics of limnological parameters in reservoirs: A case study in South Brazil using remote sensing and meteorological data",2017,"Science of the Total Environment","574",,,"253","263",,,10.1016/j.scitotenv.2016.09.050,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987984414&partnerID=40&md5=40dd67184e64e095aff74d3c10b17f6c","Universidade Federal de Santa Maria (UFSM), Departamento de Engenharia Florestal, linha Sete de Setembro s/n, CESNORS/UFSM, Frederico Westphalen, RS, Brazil; Divisão de Sensoriamento Remoto, Instituto Nacional de Pesquisas Espaciais (DSR-INPE), Caixa Postal 515, Av. dos Astronautas, 1758, Bairro Jardim da Granja, São José dos Campos, SP, Brazil; Universidade do Estado do Amazonas (UEA), Escola Normal Superior, Avenida Djalma Batista – 2470, Bairro Chapada, Manaus, AM, Brazil; Centro Regional Sul de Pesquisas Espaciais, Instituto Nacional de Pesquisas Espaciais (CRS-INPE), Av. Roraima S/N, Campus UFSM, Santa Maria, RS, Brazil","Breunig, F.M., Universidade Federal de Santa Maria (UFSM), Departamento de Engenharia Florestal, linha Sete de Setembro s/n, CESNORS/UFSM, Frederico Westphalen, RS, Brazil; Pereira Filho, W., Universidade Federal de Santa Maria (UFSM), Departamento de Engenharia Florestal, linha Sete de Setembro s/n, CESNORS/UFSM, Frederico Westphalen, RS, Brazil; Galvão, L.S., Divisão de Sensoriamento Remoto, Instituto Nacional de Pesquisas Espaciais (DSR-INPE), Caixa Postal 515, Av. dos Astronautas, 1758, Bairro Jardim da Granja, São José dos Campos, SP, Brazil; Wachholz, F., Universidade do Estado do Amazonas (UEA), Escola Normal Superior, Avenida Djalma Batista – 2470, Bairro Chapada, Manaus, AM, Brazil; Cardoso, M.A.G., Centro Regional Sul de Pesquisas Espaciais, Instituto Nacional de Pesquisas Espaciais (CRS-INPE), Av. Roraima S/N, Campus UFSM, Santa Maria, RS, Brazil","Breunig, F.M.; Universidade Federal de Santa Maria (UFSM), Departamento de Engenharia Florestal, linha Sete de Setembro s/n, CESNORS/UFSMBrazil; email: breunig@ufsm.br",Article,Scopus
"Shakya H.B., Christakis N.A., Fowler J.H.","An exploratory comparison of name generator content: Data from rural India",2017,"Social Networks","48",,,"157","168",,,10.1016/j.socnet.2016.08.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988349824&partnerID=40&md5=61f94e1ca95c872cfd5c2910494d8197","School of Medicine, University of California San Diego, 9500 Gilman Dr., La Jolla, CA, United States; Yale Institute for Network Science, PO Box 208263, New Haven, CT, United States; Political Science Department, University of California San Diego, SSB 301, 9500 Gilman Dr., La Jolla, CA, United States","Shakya, H.B., School of Medicine, University of California San Diego, 9500 Gilman Dr., La Jolla, CA, United States, Yale Institute for Network Science, PO Box 208263, New Haven, CT, United States; Christakis, N.A., Yale Institute for Network Science, PO Box 208263, New Haven, CT, United States; Fowler, J.H., School of Medicine, University of California San Diego, 9500 Gilman Dr., La Jolla, CA, United States, Political Science Department, University of California San Diego, SSB 301, 9500 Gilman Dr., La Jolla, CA, United States","Shakya, H.B.; University of California San Diego, 9500 Gilman Drive, Mail Code 0507, United States; email: hshakya@ucsd.edu",Article,Scopus
"Nigmatullin R.R., Maione G., Lino P., Saponaro F., Zhang W.","The general theory of the Quasi-reproducible experiments: How to describe the measured data of complex systems?",2017,"Communications in Nonlinear Science and Numerical Simulation","42",,,"324","341",,1,10.1016/j.cnsns.2016.05.019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973531918&partnerID=40&md5=b2381378569b6d9e5614aae0ec687869","Radio-electronics and Informative Measurements Technics Department, Kazan National Research Technical University (KNRTU-KAI), K. Marx str.10, Kazan, Tatarstan, Russian Federation; Department of Electrical and Information Engineering (DEI), Politecnico di Bari, Via E. Orabona, 4, Bari, Italy; JiNan University(JNU), College of Information Science and Technology, Department of Electronic Engineering, Guangzhou, Guangdong, China; JNU-KNRTU(KAI) Joint Lab. of FracDynamics and Signal Processing, JNU, Guangzhou, China","Nigmatullin, R.R., Radio-electronics and Informative Measurements Technics Department, Kazan National Research Technical University (KNRTU-KAI), K. Marx str.10, Kazan, Tatarstan, Russian Federation, JNU-KNRTU(KAI) Joint Lab. of FracDynamics and Signal Processing, JNU, Guangzhou, China; Maione, G., Department of Electrical and Information Engineering (DEI), Politecnico di Bari, Via E. Orabona, 4, Bari, Italy; Lino, P., Department of Electrical and Information Engineering (DEI), Politecnico di Bari, Via E. Orabona, 4, Bari, Italy; Saponaro, F., Department of Electrical and Information Engineering (DEI), Politecnico di Bari, Via E. Orabona, 4, Bari, Italy; Zhang, W., JiNan University(JNU), College of Information Science and Technology, Department of Electronic Engineering, Guangzhou, Guangdong, China, JNU-KNRTU(KAI) Joint Lab. of FracDynamics and Signal Processing, JNU, Guangzhou, China","Nigmatullin, R.R.; Radio-electronics and Informative Measurements Technics Department, Kazan National Research Technical University (KNRTU-KAI), K. Marx str.10, Russian Federation; email: renigmat@gmail.com",Article,Scopus
"Madeti S.R., Singh S.N.","Monitoring system for photovoltaic plants: A review",2017,"Renewable and Sustainable Energy Reviews","67",,,"1180","1207",,,10.1016/j.rser.2016.09.088,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988957044&partnerID=40&md5=122aaa5a7e10229a3bf011f6e8920c73","Alternate Hydro Energy Centre, Indian Institute of Technology Roorkee, Uttarakhand, India","Madeti, S.R., Alternate Hydro Energy Centre, Indian Institute of Technology Roorkee, Uttarakhand, India; Singh, S.N., Alternate Hydro Energy Centre, Indian Institute of Technology Roorkee, Uttarakhand, India","Madeti, S.R.; Alternate Hydro Energy Centre, Indian Institute of Technology RoorkeeIndia; email: ramakrishna.iitroorkee@gmail.com",Review,Scopus
"Lomba A., Strohbach M., Jerrentrup J.S., Dauber J., Klimek S., McCracken D.I.","Making the best of both worlds: Can high-resolution agricultural administrative data support the assessment of High Nature Value farmlands across Europe?",2017,"Ecological Indicators","72",,,"118","130",,,10.1016/j.ecolind.2016.08.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981545203&partnerID=40&md5=5564097a97d2ba0c1f10156ff442e5c6","CIBIO/Inbio, Centro de Investigação em Biodiversidade e Recursos Genéticos da Universidade do Porto, Campus Agrário de Vairão, R. Padre Armando Quintas, no 7, Vairão, Portugal; Hill & Mountain Research Centre, Scotland's Rural College, Kirkton Farm, Crianlarich, United Kingdom; Landscape Ecology and Environmental Systems Analysis, Institute of Geoecology, Technische Universität Braunschweig, Langer Kamp 19c, Braunschweig, Germany; Thünen Institute of Biodiversity, Bundesallee 50, Braunschweig, Germany","Lomba, A., CIBIO/Inbio, Centro de Investigação em Biodiversidade e Recursos Genéticos da Universidade do Porto, Campus Agrário de Vairão, R. Padre Armando Quintas, no 7, Vairão, Portugal, Hill & Mountain Research Centre, Scotland's Rural College, Kirkton Farm, Crianlarich, United Kingdom; Strohbach, M., Landscape Ecology and Environmental Systems Analysis, Institute of Geoecology, Technische Universität Braunschweig, Langer Kamp 19c, Braunschweig, Germany, Thünen Institute of Biodiversity, Bundesallee 50, Braunschweig, Germany; Jerrentrup, J.S., Thünen Institute of Biodiversity, Bundesallee 50, Braunschweig, Germany; Dauber, J., Thünen Institute of Biodiversity, Bundesallee 50, Braunschweig, Germany; Klimek, S., Thünen Institute of Biodiversity, Bundesallee 50, Braunschweig, Germany; McCracken, D.I., Hill & Mountain Research Centre, Scotland's Rural College, Kirkton Farm, Crianlarich, United Kingdom","Lomba, A.; Centro de Investigação em Biodiversidade e Recursos Genéticos da Universidade do Porto, Campus Agrário de VairãoPortugal; email: angelalomba@fc.up.pt",Article,Scopus
"Rozenblat V., Ong D., Fuller-Tyszkiewicz M., Akkermann K., Collier D., Engels R.C.M.E., Fernandez-Aranda F., Harro J., Homberg J.R., Karwautz A., Kiive E., Klump K.L., Larson C.L., Racine S.E., Richardson J., Steiger H., Stoltenberg S.F., van Strien T., Wagner G., Treasure J., Krug I.","A systematic review and secondary data analysis of the interactions between the serotonin transporter 5-HTTLPR polymorphism and environmental and psychological factors in eating disorders",2017,"Journal of Psychiatric Research","84",,,"62","72",,,10.1016/j.jpsychires.2016.09.023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988917482&partnerID=40&md5=8de561e197038eac3ba9fb2878a79e77","Department of Psychological Sciences, The University of Melbourne, Parkville, Australia; School of Psychology, Deakin University, Geelong, Australia; Department of Psychology, Estonian Centre of Behavioural and Health Sciences, University of Tartu, Tartu, Estonia; Social, Genetic, and Developmental Psychiatry Research Centre, Institute of Psychiatry, King's College, London, United Kingdom; Behavioural Science Institute, Radboud University Nijmegen, Nijmegen, Netherlands; Department of Psychiatry, University Hospital of Bellvitge – IDIBELL, Spain; CIBER Fisiopatologia Obesidad y Nutricion (CIBERobn), Instituto Salud Carlos III, Madrid, Spain; Donders Institute for Brain, Cognition, and Behaviour, Centre for Neuroscience, Radboud University Medical Centre, Department of Cognitive Neuroscience, Nijmegen, Netherlands; Department of Child and Adolescent Psychiatry, Medical University of Vienna, Vienna, Austria; Department of Psychology, Michigan State University, East Lansing, MI, United States; Department of Psychology, University of Wisconsin-MilwaukeeWI, United States; Eating Disorders Continuum, Douglas Institute, Montreal, Canada; Psychiatry Department, McGill University, Montreal, Canada; Department of Psychology, University of Nebraska-Lincoln, Lincoln, NE, United States; The Institute of Psychiatry, Psychology, and Neuroscience, King's College, London, United Kingdom","Rozenblat, V., Department of Psychological Sciences, The University of Melbourne, Parkville, Australia; Ong, D., Department of Psychological Sciences, The University of Melbourne, Parkville, Australia; Fuller-Tyszkiewicz, M., School of Psychology, Deakin University, Geelong, Australia; Akkermann, K., Department of Psychology, Estonian Centre of Behavioural and Health Sciences, University of Tartu, Tartu, Estonia; Collier, D., Social, Genetic, and Developmental Psychiatry Research Centre, Institute of Psychiatry, King's College, London, United Kingdom; Engels, R.C.M.E., Behavioural Science Institute, Radboud University Nijmegen, Nijmegen, Netherlands; Fernandez-Aranda, F., Department of Psychiatry, University Hospital of Bellvitge – IDIBELL, Spain, CIBER Fisiopatologia Obesidad y Nutricion (CIBERobn), Instituto Salud Carlos III, Madrid, Spain; Harro, J., Department of Psychology, Estonian Centre of Behavioural and Health Sciences, University of Tartu, Tartu, Estonia; Homberg, J.R., Donders Institute for Brain, Cognition, and Behaviour, Centre for Neuroscience, Radboud University Medical Centre, Department of Cognitive Neuroscience, Nijmegen, Netherlands; Karwautz, A., Department of Child and Adolescent Psychiatry, Medical University of Vienna, Vienna, Austria; Kiive, E., Department of Psychology, Estonian Centre of Behavioural and Health Sciences, University of Tartu, Tartu, Estonia; Klump, K.L., Department of Psychology, Michigan State University, East Lansing, MI, United States; Larson, C.L., Department of Psychology, University of Wisconsin-MilwaukeeWI, United States; Racine, S.E., Department of Psychology, Michigan State University, East Lansing, MI, United States; Richardson, J., Eating Disorders Continuum, Douglas Institute, Montreal, Canada, Psychiatry Department, McGill University, Montreal, Canada; Steiger, H., Eating Disorders Continuum, Douglas Institute, Montreal, Canada, Psychiatry Department, McGill University, Montreal, Canada; Stoltenberg, S.F., Department of Psychology, University of Nebraska-Lincoln, Lincoln, NE, United States; van Strien, T., Behavioural Science Institute, Radboud University Nijmegen, Nijmegen, Netherlands; Wagner, G., Department of Child and Adolescent Psychiatry, Medical University of Vienna, Vienna, Austria; Treasure, J., The Institute of Psychiatry, Psychology, and Neuroscience, King's College, London, United Kingdom; Krug, I., Department of Psychological Sciences, The University of Melbourne, Parkville, Australia","Rozenblat, V.; School of Psychological Sciences, The University of Melbourne, Level 12 Redmond Barry Building, Australia; email: vanja@rozenblat.net",Review,Scopus
"Ekerhovd N.-A., Kvamsdal S.F.","Up the ante on bioeconomic submodels of marine food webs: A data assimilation-based approach",2017,"Ecological Economics","131",,,"250","261",,,10.1016/j.ecolecon.2016.09.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987944981&partnerID=40&md5=5335a989131d870b93d161dcaf1ad7b5","SNF - Centre for Applied Research, Helleveien 30, Bergen, Norway","Ekerhovd, N.-A., SNF - Centre for Applied Research, Helleveien 30, Bergen, Norway; Kvamsdal, S.F., SNF - Centre for Applied Research, Helleveien 30, Bergen, Norway","Kvamsdal, S.F.; SNF - Centre for Applied Research, Helleveien 30, Norway; email: sturla.kvamsdal@snf.no",Article,Scopus
"Hui F.K.C.","Model-based simultaneous clustering and ordination of multivariate abundance data in ecology",2017,"Computational Statistics and Data Analysis","105",,,"1","10",,,10.1016/j.csda.2016.07.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982793444&partnerID=40&md5=84f7ef4dae69ebc252e17c4ede704319","Mathematical Sciences Institute, The Australian National University, Canberra, Australia","Hui, F.K.C., Mathematical Sciences Institute, The Australian National University, Canberra, Australia",,Article,Scopus
"Michelini M., Pospiech G., Stefanel A.","Preliminary data analysis of SSQ-HOPE questionnaire on factors inspiring secondary students to study physics",2017,"Springer Proceedings in Physics","190",,,"129","140",,,10.1007/978-3-319-44887-9_11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989325741&partnerID=40&md5=abf96c129ba5509a05c78565c209b706","Physics Education Research Unit, Department of Chemistry, Physics and Environment, University of Udine, Via delle Scienze 206, Udine, Italy; Department of Physics, Technical University of Dresden, Helmholtzstraße 10, Dresden, Germany","Michelini, M., Physics Education Research Unit, Department of Chemistry, Physics and Environment, University of Udine, Via delle Scienze 206, Udine, Italy; Pospiech, G., Department of Physics, Technical University of Dresden, Helmholtzstraße 10, Dresden, Germany; Stefanel, A., Physics Education Research Unit, Department of Chemistry, Physics and Environment, University of Udine, Via delle Scienze 206, Udine, Italy","Michelini, M.; Physics Education Research Unit, Department of Chemistry, Physics and Environment, University of Udine, Via delle Scienze 206, Italy; email: marisa.michelini@uniud.it",Conference Paper,Scopus
"Némethová V., Buliaková B., Mazancová P., Bábelová A., Šelc M., Moravčíková D., Kleščíková L., Ursínyová M., Gábelová A., Rázga F.","Intracellular uptake of magnetite nanoparticles: A focus on physico-chemical characterization and interpretation of in vitro data",2017,"Materials Science and Engineering C","70",,,"161","168",,,10.1016/j.msec.2016.08.064,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984705699&partnerID=40&md5=fb7e078395b01167a71ca6a5b035164b","Polymer Institute, SAS, Dúbravská cesta 9, Bratislava, Slovakia; Cancer Research Institute, BMC SAS, Dúbravská cesta 9, Bratislava, Slovakia; Slovak Medical University, Limbová 12, Bratislava, Slovakia","Némethová, V., Polymer Institute, SAS, Dúbravská cesta 9, Bratislava, Slovakia; Buliaková, B., Cancer Research Institute, BMC SAS, Dúbravská cesta 9, Bratislava, Slovakia; Mazancová, P., Polymer Institute, SAS, Dúbravská cesta 9, Bratislava, Slovakia; Bábelová, A., Cancer Research Institute, BMC SAS, Dúbravská cesta 9, Bratislava, Slovakia; Šelc, M., Cancer Research Institute, BMC SAS, Dúbravská cesta 9, Bratislava, Slovakia; Moravčíková, D., Polymer Institute, SAS, Dúbravská cesta 9, Bratislava, Slovakia; Kleščíková, L., Polymer Institute, SAS, Dúbravská cesta 9, Bratislava, Slovakia; Ursínyová, M., Slovak Medical University, Limbová 12, Bratislava, Slovakia; Gábelová, A., Cancer Research Institute, BMC SAS, Dúbravská cesta 9, Bratislava, Slovakia; Rázga, F., Polymer Institute, SAS, Dúbravská cesta 9, Bratislava, Slovakia","Rázga, F.; Polymer Institute, SAS, Dúbravská cesta 9, Slovakia; email: filip.razga@savba.sk",Article,Scopus
"Schulze S., Nikrityuk P., Abosteif Z., Guhl S., Richter A., Meyer B.","Heat and mass transfer within thermogravimetric analyser: From simulation to improved estimation of kinetic data for char gasification",2017,"Fuel","187",,,"338","348",,,10.1016/j.fuel.2016.09.048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988963994&partnerID=40&md5=3fa5072634ff192e35191293b784dd06","Chair of Energy Process Engineering and Thermal Waste Treatment, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany; Department of Chemical and Materials Engineering, University of Alberta, Edmonton, Canada; CIC Virtuhcon, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany","Schulze, S., Chair of Energy Process Engineering and Thermal Waste Treatment, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany; Nikrityuk, P., Department of Chemical and Materials Engineering, University of Alberta, Edmonton, Canada; Abosteif, Z., Chair of Energy Process Engineering and Thermal Waste Treatment, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany; Guhl, S., Chair of Energy Process Engineering and Thermal Waste Treatment, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany; Richter, A., CIC Virtuhcon, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany; Meyer, B., Chair of Energy Process Engineering and Thermal Waste Treatment, Technische Universität Bergakademie Freiberg, Fuchsmühlenweg 9, Freiberg, Germany","Nikrityuk, P.; Department of Chemical and Materials Engineering, University of AlbertaCanada; email: nikrityu@ualberta.ca",Article,Scopus
"Mudd G.M., Jowitt S.M., Werner T.T.","The world's lead-zinc mineral resources: Scarcity, data, issues and opportunities",2017,"Ore Geology Reviews","80",,,"1160","1190",,,10.1016/j.oregeorev.2016.08.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988421367&partnerID=40&md5=11c6df9e0e39ac6123ba97814be4a2b0","Environmental Engineering, Monash University, Clayton, VIC, Australia; School of Earth, Atmosphere and Environment Sciences, Monash University, Clayton, VIC, Australia; Department of Geoscience, University of Nevada, Las Vegas, 4505 S. Maryland Pkwy., Las Vegas, Nevada, United States","Mudd, G.M., Environmental Engineering, Monash University, Clayton, VIC, Australia; Jowitt, S.M., School of Earth, Atmosphere and Environment Sciences, Monash University, Clayton, VIC, Australia, Department of Geoscience, University of Nevada, Las Vegas, 4505 S. Maryland Pkwy., Las Vegas, Nevada, United States; Werner, T.T., Environmental Engineering, Monash University, Clayton, VIC, Australia","Mudd, G.M.; Environmental Engineering, Monash UniversityAustralia; email: gavin.mudd@monash.edu",Article,Scopus
"Jafarifarmand A., Badamchizadeh M.-A., Khanmohammadi S., Nazari M.A., Tazehkand B.M.","Real-time ocular artifacts removal of EEG data using a hybrid ICA-ANC approach",2017,"Biomedical Signal Processing and Control","31",,,"199","210",,,10.1016/j.bspc.2016.08.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981724923&partnerID=40&md5=1938168cb342654ce06000f00c88826e","Faculty of Electrical and Computer Engineering, University of Tabriz, Tabriz, Iran; Cognitive Neuroscience Laboratory, Department of Psychology, University of Tabriz, Tabriz, Iran","Jafarifarmand, A., Faculty of Electrical and Computer Engineering, University of Tabriz, Tabriz, Iran; Badamchizadeh, M.-A., Faculty of Electrical and Computer Engineering, University of Tabriz, Tabriz, Iran; Khanmohammadi, S., Faculty of Electrical and Computer Engineering, University of Tabriz, Tabriz, Iran; Nazari, M.A., Cognitive Neuroscience Laboratory, Department of Psychology, University of Tabriz, Tabriz, Iran; Tazehkand, B.M., Faculty of Electrical and Computer Engineering, University of Tabriz, Tabriz, Iran","Badamchizadeh, M.-A.; Faculty of Electrical and Computer Engineering, University of TabrizIran; email: mbadamchi@tabrizu.ac.ir",Article,Scopus
"Zheng G., Chu C., Belavý D.L., Ibragimov B., Korez R., Vrtovec T., Hutt H., Everson R., Meakin J., Andrade I.L., Glocker B., Chen H., Dou Q., Heng P.-A., Wang C., Forsberg D., Neubert A., Fripp J., Urschler M., Stern D., Wimmer M., Novikov A.A., Cheng H., Armbrecht G., Felsenberg D., Li S.","Evaluation and comparison of 3D intervertebral disc localization and segmentation methods for 3D T2 MR data: A grand challenge",2017,"Medical Image Analysis","35",,,"327","344",,,10.1016/j.media.2016.08.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983405445&partnerID=40&md5=df9beae018b39e912707538375794d96","Institute for Surgical Technology and Biomechanics, University of Bern, Switzerland; Institute of Physical Activity and Nutrition Research, Deakin University, Burwood, Victoria, Australia; Charité University Medical School Berlin, Germany; University of Ljubljana, Slovenia; Stanford University, United States; University of Exeter, United Kingdom; Imperial College London, United Kingdom; The Chinese University of HongKong, China; Sectra, Linköping, Sweden; Case Western Reserve University and University Hospitals Case Medical Center, United States; University of Queensland, Australia; The Australian e-Health Research Centre, CSIRO Health and Biosecurity, Australia; Graz University of Technology, Austria; Ludwig Boltzmann Institute for Clinical Forensic Imaging, Austria; VRVis Center for Virtual Reality and Visualization, Austria; University of Western Ontario, Canada","Zheng, G., Institute for Surgical Technology and Biomechanics, University of Bern, Switzerland; Chu, C., Institute for Surgical Technology and Biomechanics, University of Bern, Switzerland; Belavý, D.L., Institute of Physical Activity and Nutrition Research, Deakin University, Burwood, Victoria, Australia, Charité University Medical School Berlin, Germany; Ibragimov, B., University of Ljubljana, Slovenia, Stanford University, United States; Korez, R., University of Ljubljana, Slovenia; Vrtovec, T., University of Ljubljana, Slovenia; Hutt, H., University of Exeter, United Kingdom; Everson, R., University of Exeter, United Kingdom; Meakin, J., University of Exeter, United Kingdom; Andrade, I.L., Imperial College London, United Kingdom; Glocker, B., Imperial College London, United Kingdom; Chen, H., The Chinese University of HongKong, China; Dou, Q., The Chinese University of HongKong, China; Heng, P.-A., The Chinese University of HongKong, China; Wang, C., Sectra, Linköping, Sweden; Forsberg, D., Sectra, Linköping, Sweden, Case Western Reserve University and University Hospitals Case Medical Center, United States; Neubert, A., University of Queensland, Australia, The Australian e-Health Research Centre, CSIRO Health and Biosecurity, Australia; Fripp, J., The Australian e-Health Research Centre, CSIRO Health and Biosecurity, Australia; Urschler, M., Graz University of Technology, Austria; Stern, D., Ludwig Boltzmann Institute for Clinical Forensic Imaging, Austria; Wimmer, M., VRVis Center for Virtual Reality and Visualization, Austria; Novikov, A.A., VRVis Center for Virtual Reality and Visualization, Austria; Cheng, H., Institute for Surgical Technology and Biomechanics, University of Bern, Switzerland; Armbrecht, G., Charité University Medical School Berlin, Germany; Felsenberg, D., Charité University Medical School Berlin, Germany; Li, S., University of Western Ontario, Canada","Zheng, G.; Institute for Surgical Technology and Biomechanics, University of Bern, Switzerland; email: guoyan.zheng@ieee.org",Article,Scopus
